Rinf,s50,c,sigma
328.95,221.22,1.5004,0.31715
369.55,234.95,1.4451,0.34945
307.6,224.13,1.2564,0.3688
373,232.39,1.5134,0.32574
318.59,230.17,1.3753,0.31593
363.93,269.01,1.3745,0.31417
347.05,210.38,1.4846,0.39258
314.36,175.75,1.6707,0.36306
351.87,238.35,1.461,0.38325
380.56,267.17,1.4108,0.36438
393.79,284.56,1.2808,0.44554
380.65,236.57,1.4868,0.30124
276.99,160.82,1.6765,0.31175
364.81,209.97,1.5722,0.37638
246.69,161.46,1.5599,0.40102
346.5,260.59,1.3018,0.35817
304.54,226.22,1.3537,0.32699
367.5,219.97,1.4652,0.4333
388.57,232.88,1.5307,0.35571
389.15,275.7,1.372,0.34321
329.9,226.81,1.4443,0.33117
396.35,278.2,1.3046,0.33432
334.61,235.07,1.4572,0.39903
361.97,294.33,1.2517,0.31019
368.95,257.15,1.3676,0.314
337.28,190.99,1.6168,0.31861
384.5,241.32,1.5005,0.30821
388.64,273.41,1.3402,0.34009
350.38,189.97,1.5758,0.35277
377.84,289.58,1.3033,0.36766
355.13,209.45,1.5251,0.34952
344.19,239.28,1.3994,0.3687
305.53,184.83,1.5962,0.32032
317.15,222.12,1.4203,0.2851
285.69,180.26,1.559,0.29385
370.94,213.4,1.5703,0.32304
290.18,169.83,1.6516,0.36384
306.93,189.45,1.4702,0.31828
397.56,322.45,1.2243,0.38207
387.93,273.82,1.3896,0.2792
365.56,239.99,1.4143,0.37218
376.38,219.91,1.6111,0.32706
241.37,150.41,1.5167,0.37424
355.46,200.16,1.5396,0.42418
360.74,222.1,1.5463,0.34294
346.62,227.3,1.4511,0.36227
379.99,225.49,1.566,0.34802
328.83,279.47,1.2985,0.36825
353.68,236.27,1.4428,0.30496
262.38,158.12,1.5575,0.44194
318,196.3,1.5357,0.34638
335.08,194.56,1.5057,0.35578
353.14,261.61,1.2789,0.40394
259.26,175.64,1.4662,0.33426
335.94,217.8,1.496,0.30191
369.73,268.04,1.3226,0.29018
383.15,268.37,1.3628,0.31875
388.64,243.27,1.5262,0.38072
372.09,249.47,1.4259,0.3075
388.67,232.38,1.5662,0.34443
339.37,189.82,1.6275,0.35019
380.36,260.56,1.3633,0.30938
390.43,272.86,1.3422,0.38272
309.51,196.15,1.5952,0.35715
337.64,207.07,1.5019,0.33737
364.53,240.77,1.5376,0.33448
386.23,245.31,1.4831,0.3349
399.29,291.09,1.3404,0.30822
362.37,231.11,1.5451,0.28844
306.44,214.14,1.4517,0.31827
381.94,242.59,1.4335,0.32161
353.03,215.17,1.5425,0.31336
274.57,175.34,1.5583,0.36773
357.95,209.5,1.5621,0.33765
206.18,127.18,1.646,0.34209
362.16,235.72,1.4264,0.29405
331.58,220,1.454,0.33327
384.42,224.38,1.6274,0.3905
371.89,234.19,1.4791,0.35273
315.04,180.34,1.6289,0.36316
353.74,228.72,1.5205,0.30445
385.75,230,1.5234,0.30892
229.29,171.12,1.4474,0.36894
392.02,231.44,1.597,0.36723
384.42,233.68,1.4488,0.31458
393.37,288.5,1.359,0.32
341.95,203.7,1.5839,0.31956
387.68,247.04,1.471,0.30137
343.11,240.14,1.4377,0.31389
398.14,236.53,1.5495,0.34309
365.02,234.34,1.4385,0.33909
396.42,284.5,1.3681,0.34176
324.32,206.27,1.5008,0.35529
391.21,224.08,1.5715,0.33583
360.82,242.2,1.4489,0.32626
316.85,189.15,1.6181,0.37414
337.68,246.78,1.4279,0.36172
273.72,166.99,1.6242,0.31733
332.84,202.35,1.5383,0.34552
334.73,205.79,1.5367,0.35108
344.41,228.96,1.4493,0.31861
362.21,214.94,1.5891,0.36573
375.12,268.9,1.4113,0.3175
317.65,226.76,1.4185,0.31489
344.66,233.3,1.4311,0.37007
304.37,239.63,1.2912,0.35375
362.93,235.2,1.4368,0.35395
380.22,292.58,1.315,0.31644
317.82,184.43,1.6122,0.26403
363.17,268.74,1.2895,0.41433
357.21,245.08,1.37,0.31818
269.94,210.5,1.3641,0.40686
331.87,220.52,1.4332,0.41136
371.69,262.21,1.4041,0.31188
281.36,191.3,1.537,0.359
345.89,233.86,1.422,0.37575
391.88,298.38,1.2798,0.39297
344.32,254.58,1.3739,0.35779
355.72,225.57,1.4673,0.31975
305.78,202.47,1.4622,0.28521
372.63,247.06,1.4646,0.31968
303.75,218.13,1.3526,0.35898
367.63,222.79,1.4633,0.38644
333.69,216.31,1.4902,0.30125
393.99,269.99,1.429,0.3521
389.84,273.13,1.3771,0.34662
343.84,220.23,1.4604,0.41545
331.89,227.85,1.3958,0.38477
358.24,228.92,1.4405,0.32528
320.5,222.41,1.3769,0.41359
328.79,187.53,1.6268,0.35606
302.35,190.68,1.5029,0.34798
322.12,181.07,1.6041,0.27091
250.36,164.02,1.5262,0.41314
382.1,237.96,1.4392,0.31604
233.32,137.53,1.7376,0.35867
377.23,236.39,1.5089,0.38159
371.69,250.83,1.4802,0.30961
256.69,164.3,1.5155,0.32132
365.63,230.91,1.4736,0.31199
317.02,170.36,1.6849,0.38964
383.56,275.11,1.3804,0.36386
383.46,281.69,1.3785,0.36645
393.94,270.14,1.3762,0.32502
352.84,245.87,1.4132,0.37219
381.29,239.45,1.4808,0.34253
377.41,274.74,1.3159,0.29961
352.27,228.56,1.5011,0.29573
393.09,266.39,1.4014,0.34284
387.85,247.24,1.477,0.37935
285.16,186.35,1.5437,0.27682
368.62,257.53,1.4434,0.41854
377.46,277.85,1.3761,0.33546
348.18,257.47,1.3131,0.35884
397.53,267.44,1.3589,0.37793
302.2,180.27,1.6143,0.35529
321.43,203.75,1.5124,0.27615
365.8,231.69,1.4924,0.32119
374.38,219.2,1.4783,0.34034
296.75,186,1.5764,0.35919
242.03,142.35,1.6866,0.3698
382.72,224.96,1.5277,0.359
371.02,257.7,1.4318,0.31534
301.17,183.58,1.4997,0.39374
373.65,225.1,1.5168,0.28557
292.87,226.5,1.3452,0.32698
382.41,243.45,1.516,0.36224
289.44,172.76,1.5709,0.38573
387.98,240.15,1.4911,0.33747
340.28,232.48,1.4411,0.29
363.86,247.55,1.405,0.33045
337.8,182.55,1.6891,0.38263
356.38,243.29,1.4745,0.34235
383.97,295.45,1.3088,0.30477
372.26,247.49,1.3787,0.33584
312.19,196.68,1.4942,0.42765
374.48,238.51,1.4673,0.34755
244.57,147.04,1.7141,0.39483
347.63,219.93,1.4967,0.34988
341.65,185.18,1.5698,0.42123
366.46,217.14,1.5203,0.40768
372.46,249.6,1.3884,0.30579
273.62,166.72,1.6122,0.3503
388.41,262.26,1.4076,0.27056
390.95,224.2,1.5475,0.32016
383.77,249.24,1.4599,0.35063
295.07,213.66,1.385,0.36332
330.96,194.17,1.533,0.37899
317.55,225.34,1.4402,0.34941
320.79,219.52,1.5077,0.38496
351.41,216.9,1.5043,0.41488
280.11,211.44,1.363,0.39082
384.95,250.37,1.4556,0.33308
324.3,181.31,1.653,0.34697
335.71,225.18,1.4145,0.36956
368.95,224.86,1.4631,0.39548
394.65,251.2,1.4567,0.3309
361.7,245.62,1.3982,0.33277
352.76,258.67,1.3545,0.31672
377.61,251.93,1.39,0.35704
326.92,205.57,1.535,0.35611
387.05,254.25,1.4507,0.29194
343.36,221.46,1.4381,0.34335
349.36,208.36,1.5323,0.35382
322.56,215.32,1.4334,0.33522
307.06,230.7,1.296,0.37119
285.76,195.88,1.4661,0.28379
314.87,210.38,1.464,0.35953
302.23,194.62,1.4727,0.3106
338,214.71,1.4354,0.36684
336.56,212.77,1.4603,0.38515
