Rinf,s50,c,sigma
377.13,232.12,1.5238,0.2991
397.87,238.29,1.4812,0.40841
359.12,213.45,1.4741,0.35498
346.33,196.19,1.6126,0.38379
377.31,245.76,1.3898,0.35276
341.72,226.64,1.4513,0.32656
294.51,193.67,1.4688,0.33519
384.95,262.89,1.4075,0.31961
331.58,213.86,1.449,0.37571
261.46,154.55,1.6131,0.35964
358.62,247.52,1.4578,0.29717
372.76,227.53,1.4636,0.38106
354.72,265.77,1.3597,0.32169
254,143.6,1.7659,0.38446
324.71,246.7,1.2937,0.37118
340.38,238.67,1.3592,0.39112
298.49,176.28,1.6228,0.40182
313.55,181.51,1.6083,0.34662
391.47,236.22,1.5934,0.32378
286.25,192.79,1.3863,0.38722
363.03,229.46,1.522,0.3199
346.54,183.11,1.687,0.36076
275.82,181.73,1.4297,0.34501
398.31,257.32,1.3823,0.33579
392.08,281.85,1.3691,0.35826
396.33,271.3,1.4075,0.36155
393.62,248.34,1.4426,0.31742
276.71,177.62,1.5422,0.28152
395.06,279.38,1.3605,0.29571
381.39,250.31,1.4436,0.32179
362.89,256.44,1.4251,0.31638
326.9,226.62,1.4337,0.34924
346.92,229.84,1.4225,0.39883
315.52,207.64,1.4509,0.41486
337.34,239.04,1.3522,0.38564
361.8,246.44,1.3745,0.33882
379.2,228.07,1.5927,0.28879
360.01,210.02,1.5783,0.34656
266.65,157.78,1.6978,0.37305
301.51,157.59,1.7632,0.33644
337.04,181.72,1.6111,0.37293
393.07,246.31,1.4003,0.38976
308.69,182.11,1.5677,0.37559
384.74,245.38,1.4353,0.32863
381.1,215.96,1.6181,0.32043
254.44,174.63,1.4412,0.37598
389.61,245.95,1.5122,0.30618
365.4,245.67,1.4659,0.30082
399.28,298.26,1.335,0.35442
363.55,199.61,1.5721,0.39268
318,237.06,1.3837,0.34593
340.59,285.24,1.2565,0.28813
361.7,246.19,1.4505,0.35577
372.72,249.26,1.3943,0.36164
341.92,203.76,1.5422,0.31414
345.07,251.02,1.3838,0.33934
327.49,185.33,1.5789,0.31845
340.86,219.29,1.5036,0.35612
327.31,267.41,1.2555,0.34596
380.44,238.46,1.4723,0.39407
387.12,238.85,1.4378,0.35017
377.45,240.07,1.51,0.32739
334.71,235.24,1.4365,0.29262
359.45,237.09,1.4467,0.3387
331.68,228.42,1.4707,0.35295
392.81,304.43,1.3223,0.38665
362.66,232.75,1.3888,0.38015
373.17,200.31,1.6062,0.32779
331.89,215.26,1.5342,0.29059
353.44,200.47,1.604,0.29849
341.22,202.86,1.612,0.31786
388.02,248.86,1.4507,0.33262
372.06,235.93,1.4574,0.33433
266.78,162.98,1.6412,0.35823
378.98,247.28,1.4596,0.31581
338.94,204.56,1.6049,0.3299
363.34,232.22,1.4145,0.35684
386.56,252,1.4345,0.33183
346.82,217.83,1.5186,0.33141
346.59,218.58,1.4872,0.33448
308.25,200.28,1.4849,0.33975
376.16,227.66,1.5179,0.32822
363.29,218.54,1.5326,0.34691
303.49,179.48,1.6587,0.34999
394.68,241.33,1.5534,0.29771
327.29,202.22,1.5357,0.32162
277.97,151.74,1.6009,0.35348
363.23,254.25,1.4382,0.3432
360.38,226.12,1.4917,0.33487
347.69,222.55,1.4151,0.41662
364.36,276.65,1.2941,0.38379
390.83,239.15,1.5053,0.29704
308.33,194.22,1.5455,0.32284
329.4,190.03,1.5738,0.31578
376.39,275.83,1.3425,0.30941
265.18,150.05,1.6678,0.3692
399.98,282.43,1.3965,0.31411
375.86,258.58,1.3854,0.33407
307.02,169.92,1.6152,0.37472
320.75,203.19,1.4539,0.34708
397.96,243.99,1.5172,0.3576
369.16,238.67,1.4898,0.30717
389.69,237.93,1.5384,0.35342
353.06,236.51,1.4053,0.33993
293.09,237.56,1.3216,0.32742
275.58,174.4,1.5584,0.33065
349.9,218.28,1.4966,0.34895
393.94,277.87,1.3646,0.3153
250.6,174.06,1.4947,0.38054
351.64,219.96,1.436,0.35254
310.97,186.64,1.5704,0.3532
342.27,229.62,1.4311,0.36937
358.73,231.66,1.4129,0.30624
384.46,262.81,1.3565,0.36726
354.85,233.48,1.4556,0.30398
360.97,221.24,1.5397,0.32728
363.74,253.21,1.3476,0.38361
353.63,246.13,1.4702,0.29722
369.7,217.89,1.584,0.27422
357.12,234.88,1.4859,0.33234
316.6,194.15,1.5673,0.30651
321.6,254.66,1.2783,0.31274
348.4,246.01,1.3632,0.31202
347.55,199.01,1.6525,0.34807
306.7,195.45,1.498,0.33787
383.21,241.01,1.4587,0.36602
382.58,270.16,1.4127,0.3363
255.87,169.42,1.5057,0.37534
339.24,196.61,1.5794,0.37467
307.82,211.33,1.4711,0.33621
350.37,219.09,1.5331,0.33097
388.61,266.51,1.3928,0.34299
365.04,234.18,1.4931,0.35317
252.89,173.4,1.4619,0.34841
392.94,238.91,1.5349,0.35237
395.04,274.07,1.4039,0.32158
392.39,227,1.5679,0.39055
365.14,282.45,1.2897,0.30323
346.34,252.22,1.3279,0.39618
354.27,231.32,1.4302,0.30311
395.51,278.77,1.3851,0.33188
377.15,229.36,1.5392,0.35038
373.3,238.12,1.4583,0.38315
322.55,214.94,1.381,0.36892
390.27,245.65,1.5465,0.29167
331.62,252.21,1.3604,0.3434
361.98,219.12,1.5509,0.28763
361.65,252.1,1.3573,0.31198
379.24,283.68,1.339,0.32666
298.88,192.92,1.4824,0.3116
392.19,259.9,1.4901,0.34055
382.9,297.93,1.329,0.33231
322.68,211.86,1.4793,0.32932
330.8,200.32,1.5253,0.40364
362.07,227.72,1.4696,0.32192
338.69,212.19,1.4652,0.3437
334.25,201.48,1.6264,0.36417
398.55,234.99,1.5052,0.32271
288.65,188.61,1.521,0.35328
399.27,256.6,1.4755,0.37445
320.99,167.87,1.6891,0.39886
345.56,221.41,1.5544,0.3384
331.53,245.04,1.2449,0.46039
376.04,219.07,1.5546,0.33338
392,267.22,1.4371,0.3634
337.82,236.85,1.3971,0.31188
359,218.71,1.4736,0.39262
376.66,214.23,1.579,0.3308
325.71,213.06,1.4597,0.32932
390.14,264.48,1.4091,0.28099
370.03,247.84,1.4414,0.36164
288.71,180.94,1.5072,0.37471
325.05,189.92,1.6112,0.39808
348.05,238.23,1.4431,0.31169
299.84,190.2,1.5023,0.27611
383.41,220.09,1.6198,0.29712
365.98,217.47,1.5453,0.38566
391.94,248.15,1.4744,0.28258
290.01,192.8,1.4629,0.35031
354.03,252.67,1.3905,0.36417
399.69,296.64,1.3361,0.33732
313.47,177.48,1.616,0.34314
335.35,209.55,1.554,0.30403
296.64,212.29,1.4238,0.29774
331.75,253.37,1.3162,0.32395
391.49,246.36,1.4579,0.32159
389.52,258.07,1.4404,0.35776
286.01,182.83,1.5108,0.34969
358.91,229.31,1.4298,0.33675
385.63,253.78,1.461,0.34191
295.23,207.41,1.3805,0.34751
385.54,234.51,1.4891,0.33985
298.49,211.23,1.4807,0.28767
340.63,200.13,1.5697,0.32059
327.51,224.04,1.4486,0.32484
338.22,202.87,1.575,0.38525
381.97,257.87,1.4054,0.32321
394.18,255.74,1.4237,0.33998
355.95,245.49,1.4075,0.34485
388.76,260.07,1.3894,0.35482
309.11,183.81,1.5947,0.33128
388.36,219.98,1.5821,0.32982
339.91,265.39,1.3397,0.35679
361.14,243.85,1.4776,0.30251
335.83,193.96,1.5857,0.35143
354.13,192.92,1.6809,0.35842
387.29,280.35,1.3249,0.36269
331.77,256.83,1.4101,0.35607
376.16,238.61,1.4956,0.34683
363.74,219.51,1.5519,0.25775
376.6,223.59,1.6395,0.37952
294.2,161.06,1.6412,0.38172
349.14,228.18,1.5303,0.3407
344.17,216.69,1.4501,0.30793
357.25,203.9,1.5599,0.34099
331.21,230.32,1.419,0.32041
322.32,200.34,1.5757,0.27039
376.55,237,1.421,0.35272
385.97,257.39,1.3895,0.35791
304.31,158.45,1.607,0.375
291.71,210.76,1.3927,0.3639
380.53,235.45,1.5424,0.34195
292.93,191.11,1.5255,0.37783
390.23,210.02,1.6071,0.39275
341.1,238.37,1.3867,0.41303
349.1,215.42,1.5332,0.29664
363.47,243.73,1.4304,0.32813
301.72,201.99,1.4414,0.35467
317.42,221.45,1.4094,0.30333
310.5,186.59,1.5552,0.33505
357.98,239.13,1.4623,0.32462
360.17,229.37,1.4503,0.30866
296.58,185.73,1.5622,0.33336
305.6,184.29,1.5371,0.36048
304.18,224.32,1.3566,0.35034
390.17,225.65,1.5597,0.33864
362.92,258.44,1.4005,0.34381
338.89,191.62,1.5774,0.31282
275.71,177.81,1.6242,0.32875
283.58,163.89,1.6725,0.33556
378.75,292.88,1.3259,0.35179
283.58,163.89,1.6725,0.33556
365.74,231.31,1.4814,0.36524
353.66,258.77,1.3181,0.29665
322.55,207.73,1.4938,0.29446
368.13,225.22,1.5212,0.35698
343.48,261.6,1.3623,0.32986
391.76,243.86,1.5307,0.29386
383.62,259.53,1.3892,0.33012
348.26,216.61,1.5609,0.34462
343.56,230.48,1.4255,0.36088
313.83,187.22,1.5469,0.31812
354.93,267.73,1.3207,0.30823
248.82,170.18,1.4834,0.36088
321.69,197.02,1.5454,0.32483
380.2,228.21,1.5149,0.36166
396.93,221.87,1.5601,0.37592
363.33,253.29,1.4189,0.31518
310.14,188.55,1.5986,0.31239
366.09,239.52,1.4556,0.32554
360.4,245.36,1.4297,0.35481
368.82,293.04,1.3191,0.28843
302.68,205.12,1.4657,0.38497
315.59,206.33,1.4896,0.30437
379.81,263.56,1.3139,0.32909
377.22,250.88,1.5129,0.3281
357.42,230.4,1.3934,0.40607
321.76,205.8,1.4833,0.34788
310.43,192.37,1.581,0.31684
391.91,226.16,1.5846,0.35125
366.21,274.94,1.3192,0.38509
353.56,208.85,1.5892,0.32363
374.87,224.46,1.4724,0.31256
309.38,178.25,1.6036,0.32878
329.84,185.12,1.6672,0.32376
367.96,235.46,1.4653,0.3613
342.18,217,1.5196,0.44541
308.39,179.96,1.5808,0.32979
397.96,309.73,1.3066,0.31755
353.1,243.67,1.4345,0.32842
238.98,158.47,1.5645,0.31634
360.38,221.38,1.5154,0.31407
375.87,241.56,1.4459,0.357
337.67,223.51,1.4494,0.34645
283.36,185.53,1.5545,0.37378
372.29,259.29,1.3972,0.4099
346.22,212.71,1.462,0.42242
307.02,202.72,1.4803,0.31605
323.22,222.41,1.4432,0.34571
367.52,230.04,1.5571,0.31538
339.52,218.1,1.485,0.31863
360.97,253.23,1.3728,0.29712
270.41,164.69,1.6093,0.3904
393.25,253.51,1.403,0.37907
399.85,338.19,1.2659,0.34603
312.96,181.06,1.6539,0.3532
372.37,232.35,1.476,0.327
379.83,272.8,1.3666,0.29562
323.2,195.88,1.5771,0.33569
300.22,180.18,1.6213,0.32545
389.69,198.76,1.7768,0.3186
387.62,241.55,1.4386,0.30751
239.47,158.78,1.528,0.37485
302.68,205.12,1.4657,0.38497
361.68,243.48,1.4141,0.31668
376.6,232.46,1.4383,0.36435
327.64,222.46,1.417,0.31149
374.52,271.02,1.3774,0.37211
303.96,194.97,1.4494,0.37809
361.8,242.8,1.3682,0.40497
268.98,186.82,1.4713,0.38055
343.18,208.84,1.5336,0.35328
365.39,255.67,1.4312,0.29804
351.5,221.28,1.4599,0.39231
368.67,236.07,1.4613,0.34984
260.71,182.15,1.4605,0.38083
345.89,232.6,1.4762,0.29237
302.2,184.5,1.5663,0.34173
358.57,208.31,1.5655,0.38666
391.12,239.55,1.5149,0.34007
377.74,242.77,1.491,0.38084
376.77,270.37,1.3553,0.32215
355.6,201.22,1.5546,0.38155
340.15,194.87,1.6794,0.39242
353.33,247.72,1.4008,0.30531
386.05,254.63,1.4723,0.37609
288.93,204.67,1.4882,0.34147
389.63,271.95,1.378,0.27985
335.74,220.98,1.4799,0.36073
296.13,184.7,1.5911,0.37941
291.05,204.09,1.3395,0.37974
398.51,263.88,1.4432,0.31809
325.76,227.2,1.356,0.32733
375.2,252.3,1.4299,0.36541
364.64,232.97,1.4885,0.32861
339.96,232.04,1.4423,0.33305
380.73,263.58,1.3664,0.36064
372.24,246.38,1.4478,0.29337
378.36,235.8,1.5133,0.32528
259.79,166.68,1.5471,0.37744
385,363.84,1.1513,0.33948
367.26,291.66,1.3229,0.33427
390.21,288.81,1.3612,0.37006
297.67,190.64,1.5803,0.3389
357.69,242.4,1.4848,0.34754
326.01,248.3,1.3805,0.36966
339.35,215.47,1.4718,0.35829
367.88,299.58,1.2718,0.30768
390.06,254.73,1.4892,0.37606
339.45,210.51,1.5712,0.30397
290.1,166.13,1.6803,0.38107
394.5,267.9,1.3786,0.37433
342.48,212.2,1.5379,0.38262
378.6,201.18,1.5747,0.32275
392.1,237.96,1.4571,0.3023
361.02,280.8,1.3521,0.30762
397.08,276.92,1.3657,0.34375
320.67,224.39,1.3983,0.31476
350.58,226.86,1.5289,0.29111
308.95,194.05,1.572,0.36409
398.73,282.14,1.343,0.31439
359.05,235.6,1.5331,0.3192
393.55,255,1.4377,0.35598
258.29,166.89,1.5214,0.33996
286.1,201.03,1.4334,0.35275
310.74,222.47,1.3773,0.33781
291.14,208.79,1.3351,0.34774
282.21,168.19,1.6347,0.30782
372.83,235.3,1.5181,0.30549
368.32,237.14,1.4793,0.3254
389.95,301.53,1.2445,0.40536
326.64,206.3,1.5171,0.36008
350.17,231.32,1.5255,0.32432
363.69,234.45,1.5171,0.38468
294.22,194.09,1.4833,0.31473
349.89,209.01,1.5481,0.38872
389.79,221.64,1.507,0.40748
399.47,310.99,1.245,0.30334
395.07,238.91,1.5134,0.31817
320.77,212.62,1.5176,0.29524
239.46,159.45,1.4383,0.39806
353.37,233.09,1.499,0.33274
370.55,210.07,1.5781,0.36889
336.75,210.5,1.5057,0.32385
369.29,251.28,1.4079,0.33508
297.98,186.54,1.4764,0.36634
259.2,157.06,1.6198,0.31949
307.61,188.44,1.5241,0.31001
367.74,233.64,1.5144,0.34162
372.44,209.98,1.6213,0.28474
340.12,210.26,1.5131,0.35059
389.92,232.44,1.5157,0.33985
346.38,241.91,1.4606,0.32989
301.66,203.27,1.4577,0.33622
291.61,183.56,1.5719,0.33007
285.69,180.26,1.559,0.29385
358.35,245.8,1.3717,0.39475
365.08,261.01,1.4183,0.35456
275.85,165.57,1.5561,0.32749
366.76,220.05,1.492,0.33141
268.89,171.24,1.625,0.3266
377.18,242.1,1.4422,0.32357
265.73,150.38,1.753,0.40641
382.27,217.46,1.6029,0.31424
290.35,202.55,1.4222,0.37505
390.45,238.2,1.4766,0.35409
390.32,246.54,1.4778,0.29394
342.38,276,1.3152,0.36538
397.4,256.12,1.4715,0.29967
376.13,276.32,1.368,0.32104
351.01,242.25,1.4724,0.33966
351.93,246.74,1.3955,0.31391
380.75,251.96,1.4062,0.32633
337.81,204.74,1.4394,0.39785
388.66,233.98,1.5609,0.33413
388.2,240.35,1.5057,0.33259
344.97,253.21,1.3509,0.33833
319.31,198.46,1.5129,0.35993
362.01,239.44,1.4739,0.33554
371.96,214.02,1.5498,0.34342
383.15,277.13,1.3773,0.34092
338.17,197.13,1.6392,0.32474
390.76,230.21,1.4842,0.36256
353.41,216.61,1.4942,0.28851
354.33,230.82,1.4764,0.31535
291.82,196.35,1.4483,0.38788
390.31,242.63,1.5011,0.38936
359.74,251.72,1.3822,0.33026
383.54,262.52,1.3969,0.38638
349.72,233.82,1.4889,0.30099
300.66,196.98,1.5148,0.33974
262.74,167.29,1.4188,0.36977
244.84,158.85,1.5579,0.37222
329.09,221.7,1.4684,0.28074
341.68,226.64,1.5147,0.41299
348.58,230.59,1.3714,0.36378
316.59,207.22,1.438,0.36271
309.58,221.05,1.4062,0.29554
330.56,199.88,1.5805,0.30567
254.72,170.3,1.5282,0.36842
394.18,246.84,1.5046,0.35499
387.05,270.1,1.3994,0.36024
350.81,225.18,1.4499,0.41767
343.15,225.68,1.4288,0.34429
385.95,259.57,1.4425,0.33802
307.63,190.96,1.5973,0.35475
387.24,240.92,1.5052,0.33776
366.9,233.54,1.5437,0.35472
327.26,203.84,1.5929,0.31634
292.14,169.34,1.6258,0.43548
361.06,241.32,1.4426,0.27691
382.25,247.59,1.4368,0.34824
206.18,127.18,1.646,0.34209
298.73,231.93,1.3526,0.38005
383.2,263.29,1.3714,0.32761
375.43,269.19,1.3921,0.31533
382.56,225.84,1.5537,0.36779
369.94,252.32,1.417,0.34192
349.43,215.08,1.5853,0.36054
384.67,255.91,1.4966,0.38509
312.27,178.88,1.6195,0.33468
394.48,270.28,1.3453,0.38195
363.14,226.33,1.4718,0.31635
284.83,171.41,1.5494,0.36496
363.73,214.12,1.5285,0.32962
397.25,232.38,1.4761,0.32405
364.38,231.13,1.4612,0.32039
321.91,223.28,1.3307,0.37651
374.11,230.26,1.5214,0.31078
281.68,162.81,1.6347,0.36793
387.3,311.93,1.2701,0.38394
275.88,175.15,1.5803,0.36425
267.2,166.43,1.5877,0.40458
273.41,170.65,1.5532,0.33018
360.07,213.21,1.5354,0.36171
301.08,191.39,1.5345,0.32368
334.49,211.74,1.458,0.33343
397.15,229.56,1.5615,0.36403
273.24,196.16,1.4532,0.31348
395.55,240.71,1.4694,0.38644
398.63,274.66,1.4295,0.32877
334.21,224.68,1.4441,0.32738
321.25,200,1.5958,0.32491
338.2,228.5,1.4098,0.33005
281.15,169.99,1.6612,0.32747
378.69,252.91,1.4236,0.31736
307.44,191.25,1.4997,0.33796
385.86,247.34,1.4792,0.34339
351.98,228.01,1.446,0.29715
378.01,219.84,1.5808,0.35731
309.06,199.03,1.4873,0.35409
349.12,222.71,1.5151,0.32754
329.19,203.91,1.5279,0.33929
366.7,249.57,1.4451,0.30364
350.39,231.16,1.4515,0.35861
353.65,250.2,1.3787,0.34957
353.02,230.73,1.4039,0.36393
337.21,199.81,1.6657,0.31107
397.59,232.93,1.5415,0.31847
283.07,171.89,1.6798,0.37606
360.73,236.94,1.3737,0.32947
341.13,202.56,1.5273,0.34008
364.78,240.68,1.4919,0.36263
398.54,241.01,1.481,0.3127
341.15,218.1,1.4074,0.35115
352.21,187.68,1.6742,0.34397
356.35,249.33,1.3834,0.34192
394.82,238.63,1.5115,0.29901
387.19,258.68,1.4598,0.29917
355.9,204.19,1.5647,0.38266
388.7,220.5,1.6225,0.3265
361.6,250.13,1.4383,0.31597
360.35,254.46,1.3997,0.33301
340.44,227.55,1.5098,0.33433
372.58,247.16,1.4277,0.37457
334,242.91,1.3233,0.29115
269.34,169.01,1.4956,0.3226
249.78,163.23,1.5388,0.41474
340.37,219.7,1.4986,0.34281
374.65,280.67,1.2877,0.2876
347.27,211.99,1.5307,0.34609
382.41,285.26,1.3651,0.29098
324.01,253,1.2836,0.40586
379.06,241.43,1.5206,0.35385
399.98,269.79,1.3989,0.35215
313.98,172.61,1.6549,0.36392
399.07,274.26,1.4481,0.34525
396.43,286.3,1.3694,0.32898
361.02,210.47,1.606,0.36877
397.43,267.52,1.4187,0.30324
349.16,226.93,1.5043,0.34434
331.58,211.36,1.5343,0.33076
339.55,201.7,1.5453,0.37342
389.54,221.98,1.5455,0.32125
389.08,248.05,1.4356,0.31719
363.35,232.34,1.5337,0.28849
347.79,201.44,1.6025,0.33598
397.77,266.51,1.4096,0.31875
394.45,260.31,1.4142,0.37677
370.38,239.13,1.4297,0.3462
296.11,180.73,1.6638,0.39239
361.1,245.16,1.4588,0.29508
360.7,222.05,1.5359,0.3317
345.82,249.09,1.3982,0.29774
288.02,204.94,1.3959,0.3626
348.02,214.16,1.5536,0.33243
284.52,171.82,1.6109,0.37006
338.07,226.97,1.4488,0.33004
394.2,252.74,1.4519,0.34376
366.95,222.31,1.538,0.37982
338.64,218.31,1.5298,0.35861
335.25,194.74,1.5344,0.36331
358.44,242.16,1.4148,0.37428
321.53,206.1,1.5675,0.31449
274.65,148.81,1.6908,0.36159
328.28,234.52,1.3441,0.36057
294.89,237.91,1.3229,0.32898
395.75,245.08,1.4934,0.33139
361.13,195.08,1.676,0.34684
393.34,322.69,1.2508,0.38716
379.96,230.33,1.5802,0.34115
358.3,237.02,1.4256,0.40107
279.21,175.22,1.5479,0.27604
390.43,257.75,1.4019,0.31972
382.05,262.2,1.3498,0.3356
338.65,243.53,1.412,0.34057
392.16,296,1.324,0.25495
398.77,278.57,1.3728,0.34959
286.08,183.84,1.5116,0.35167
385.19,288.53,1.3108,0.31803
297.12,184.2,1.5795,0.31256
327.91,206.81,1.525,0.33578
339.37,189.82,1.6275,0.35019
363.59,249.09,1.473,0.37707
362.85,256,1.3869,0.31116
354.33,225.77,1.4705,0.32125
326.81,242.18,1.3453,0.32415
306.9,185.59,1.5026,0.35011
345.28,198.83,1.5537,0.38399
366.92,229.4,1.521,0.3278
381.13,252.09,1.4365,0.35418
390.13,249.02,1.5055,0.32156
351.9,259.03,1.3745,0.36244
392.67,263.72,1.3975,0.33479
317.1,187.62,1.6243,0.3371
397.89,286.81,1.3421,0.30895
316.63,194.4,1.5482,0.39956
354.54,239.66,1.4374,0.32112
390.63,202.93,1.6826,0.33701
356.42,239.91,1.3925,0.33949
359.53,270.35,1.3235,0.31153
396.24,278.62,1.4006,0.32245
311.19,212.2,1.4799,0.36847
341.88,233.87,1.4059,0.30271
304.52,207.18,1.4997,0.33225
398.63,228.06,1.5702,0.435
383.06,295.07,1.3004,0.33504
339.07,208.52,1.5166,0.34591
372.82,228.85,1.4842,0.38548
296.55,194.62,1.4734,0.30225
397.12,240.31,1.4811,0.36649
372.15,238.06,1.4938,0.30806
366.92,236.01,1.466,0.34404
344.25,249.48,1.3342,0.36071
283.42,168.21,1.5798,0.33257
340.2,220.68,1.3812,0.34566
395.38,249.38,1.4254,0.35318
347.38,279.11,1.2364,0.30425
331.29,193.72,1.6416,0.31548
303.97,186.84,1.5034,0.36862
313.49,190.31,1.5219,0.3203
387.67,272.85,1.3633,0.34524
368.67,216.25,1.6038,0.37704
317.78,186.35,1.5573,0.34943
391.15,212.91,1.5663,0.38577
324.76,208.97,1.3598,0.3543
289.99,197.38,1.4414,0.37868
398.59,277.9,1.3662,0.32925
395.92,241.46,1.4897,0.30536
326.85,245.27,1.3964,0.35857
368.56,251.21,1.4132,0.3226
322.5,227.6,1.3846,0.42393
373.84,233.66,1.4989,0.32337
369.25,202.29,1.6022,0.38828
286.76,158.61,1.7086,0.3813
399.24,257.97,1.4835,0.33016
346.59,213.46,1.4405,0.31941
397.69,267.31,1.4747,0.31298
356.77,206.21,1.5344,0.34127
334.13,212.64,1.496,0.30991
333.77,208.06,1.521,0.35037
295.63,182.02,1.543,0.3328
392.6,294.27,1.3269,0.3031
349.14,240.99,1.4035,0.36885
362.78,213.42,1.5691,0.35598
345.59,188.5,1.6234,0.43447
326.04,239.28,1.429,0.30501
393.99,294.57,1.3422,0.31328
346.4,231.31,1.4931,0.3187
381.06,266.49,1.3945,0.35319
311.35,218.38,1.3412,0.42706
328.05,222.11,1.4986,0.31051
342.98,220.96,1.4196,0.38511
324.41,182.87,1.5886,0.36677
311.12,207.4,1.4834,0.38001
337.86,217.23,1.5446,0.30708
247.56,167.64,1.5593,0.35174
322.24,222.96,1.4062,0.38354
343.22,207.61,1.4471,0.37176
363.76,206.76,1.5505,0.40539
318.29,204.99,1.5559,0.35116
355.1,214.43,1.4479,0.32741
315.69,209.15,1.435,0.33711
367.06,242.41,1.5332,0.37201
356.09,257.33,1.3817,0.33235
363.1,267.45,1.3259,0.42866
349.28,252.25,1.3569,0.35716
323.44,248.25,1.3581,0.38918
336.65,224.41,1.533,0.27709
378.96,242.51,1.5208,0.3196
352.75,244.86,1.4261,0.33945
339.92,216.74,1.5037,0.33824
371.95,237.33,1.4943,0.36467
374.43,258.56,1.4183,0.3432
349.11,252.09,1.3851,0.32954
332.25,214.94,1.5453,0.37169
337.4,201.43,1.5514,0.35212
397.93,257.57,1.5041,0.29996
396.1,299.81,1.3456,0.27795
300.74,190.63,1.5684,0.28258
374.44,221.9,1.6147,0.34194
358.04,235.26,1.4975,0.32242
353.29,233.6,1.4067,0.29354
337.68,240.04,1.3739,0.37017
369.37,246.59,1.3845,0.29605
392.9,289.19,1.3276,0.30417
347.9,215.1,1.5034,0.38611
378.1,224.96,1.5414,0.30714
276.62,184.78,1.5301,0.31096
383.09,263.63,1.4374,0.32912
348.94,215.25,1.5553,0.37878
367.68,228.45,1.5513,0.30888
227.42,148.35,1.5845,0.35571
345.43,218.44,1.5751,0.32384
392.26,238.36,1.529,0.35247
392.25,253.8,1.4568,0.32271
288.88,179.38,1.6095,0.30905
310.09,205.1,1.4716,0.31056
398.63,250.7,1.4476,0.30294
297.79,217.3,1.3341,0.33828
206.18,127.18,1.646,0.34209
387.23,279.78,1.3674,0.36415
329.26,230.62,1.3864,0.32654
379.89,245.32,1.4024,0.35743
349.95,230.88,1.44,0.33297
356.66,231.37,1.4488,0.33689
306.09,196.78,1.4187,0.38273
317.66,196.96,1.5496,0.41981
391.25,268.15,1.3971,0.36547
389.53,271.16,1.3549,0.33715
380.5,277.43,1.3572,0.31595
314.14,197.78,1.4314,0.32669
319.19,199.41,1.6058,0.35058
339.05,198.53,1.5543,0.30027
265.49,167.03,1.5737,0.27119
251.48,156.96,1.5797,0.34717
315.81,217.45,1.4482,0.31627
397.23,238.71,1.4743,0.32014
395.08,246.26,1.4797,0.37883
373.21,221.86,1.4816,0.33012
371.12,226.44,1.5123,0.39018
345.62,206.34,1.5647,0.32839
363.6,243.65,1.4149,0.34211
310.98,207.25,1.5422,0.33831
290.18,169.83,1.6516,0.36384
392.86,219.91,1.4928,0.33559
288.61,158.36,1.719,0.32567
356.24,212.49,1.4971,0.35832
331.74,213.83,1.5003,0.37324
399.9,229.46,1.6063,0.36294
319.18,218.58,1.4397,0.3665
345.09,232.2,1.3706,0.34504
319.41,217.52,1.3721,0.40717
308.11,206.84,1.4606,0.30025
302.96,184.55,1.5393,0.3474
386.41,269.14,1.3474,0.40802
354.42,222.88,1.4846,0.3534
324.6,257.68,1.3184,0.34224
392.21,236.26,1.5371,0.37363
393.07,267.61,1.4295,0.28433
360.47,244.06,1.4522,0.30027
335.3,216.23,1.4877,0.31268
371.23,210.87,1.5778,0.39212
351.1,237.04,1.4451,0.31393
399.07,267.38,1.4032,0.32896
292.72,192,1.5859,0.34152
349.04,224.92,1.4563,0.37841
388.25,231.76,1.4881,0.3806
285.23,175.25,1.5295,0.3589
386.56,257.37,1.4463,0.31724
397.56,249.72,1.4645,0.31244
302.75,205.13,1.4737,0.32893
365.14,274.99,1.327,0.28397
267.42,156.91,1.6567,0.33591
318.89,174.34,1.6665,0.36204
316.41,249.76,1.3183,0.28505
314.14,197.78,1.4314,0.32669
383.38,276.47,1.3668,0.33878
382.8,290.76,1.318,0.3752
250.03,180.22,1.4454,0.28712
360.11,235.74,1.455,0.37631
304.27,186.25,1.5001,0.36935
399.52,283.79,1.3179,0.3335
369.79,251.84,1.4216,0.3536
277.03,183.45,1.5326,0.325
294.38,180.07,1.4817,0.35441
352.39,207.39,1.5512,0.33471
338.66,216.47,1.4578,0.38261
374.99,238.05,1.3993,0.42094
340.92,221.68,1.4406,0.33184
378.33,221.86,1.5867,0.32795
363.38,234.69,1.5252,0.3124
339.75,227.67,1.4113,0.35838
326.18,181.76,1.5842,0.34725
391.89,271.73,1.3828,0.4097
322.72,228.79,1.3994,0.35684
373.63,231.19,1.5074,0.32845
395.21,289.18,1.3727,0.32794
367.89,265.6,1.3981,0.31948
371.99,270.19,1.3004,0.32715
392.33,295.87,1.2929,0.40529
366.45,224.57,1.5338,0.32853
367.77,265.13,1.3391,0.31628
394.75,251.19,1.4245,0.32336
277.88,185.94,1.5435,0.31856
394.67,257.3,1.4672,0.27416
346.26,230.88,1.3936,0.31379
392.22,270.52,1.3456,0.34579
309.98,192.86,1.5217,0.32136
322.37,198.68,1.5155,0.34538
265.79,152.79,1.6809,0.31942
352.02,242.32,1.3937,0.2641
235.71,150.45,1.5562,0.38757
